brand_name,model,processor_brand,iter,rating,memory_type,gpu_brand,gpu_type,Touch_Screen,os,virtualization_support,linux_compatible,cuda_support,code_compile_benchmark,display_productivity,threads_num,core_num,ram_num,memory_size,display_size,resolutioin_height,ppi,resolutioin_width,warrenty,development_performance_score,price_to_performance,price
Lenovo,Lenovo ThinkBook 15 G5 21JF002JIN Laptop (AMD Ryzen 3 7330U/ 8 GB/ 512 GB SSD/ Win11),AMD,Ryzen 3,4.2,SSD,AMD,Integrated,False,Windows 11,True,True,False,Slow,Slow,8.0,8.0,8.0,512.0,15.6,1920.0,141.21,1080.0,1.0,32.0,0.91,35140
Apple,Apple MacBook Pro 14 2023 Laptop (Apple M3/ 8GB/ 512GB SSD/ macOS),Apple,Other,4.5,SSD,Apple,Integrated,False,Mac,False,False,False,Slow,Fast,18.4,8.0,8.0,512.0,14.2,3024.0,253.93,1964.0,1.0,62.4,0.6479999999999999,111699
Asus,Asus TUF Gaming F15 2022 FX507ZC4-HN116W Gaming Laptop (12th Gen Core i5/ 16GB/512GB SSD/ Win11 / 4GB Graph),Intel,Core i5,4.45,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,16.0,12.0,16.0,512.0,15.6,1920.0,141.21,1080.0,1.0,66.0,1.1,59990
HP,HP 15-fd0492TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Intel,Core i5,4.35,SSD,Intel,Integrated,False,Windows 11,True,True,False,Medium,Slow,12.0,10.0,16.0,512.0,15.6,1920.0,141.21,1080.0,1.0,48.0,0.82,58499
Asus,Asus Vivobook 14 2025 X1407CA-LY102WS Laptop (Intel Core Ultra 5 225H/ 16GB/ 512GB SSD/ Win11),Intel,Core Ultra 5,4.45,SSD,Intel,Integrated,False,Windows 11,True,True,False,Medium,Medium,14.0,14.0,16.0,512.0,14.0,1920.0,161.73,1200.0,1.0,58.0,0.78,73990
Dell,Dell Inspiron 15 3535 Laptop (AMD Ryzen R5-7530U/ 16GB/ 512GB SSD/ Win11),AMD,Ryzen 5,4.45,SSD,AMD,Integrated,False,Windows 11,True,True,False,Medium,Slow,12.0,8.0,16.0,512.0,15.6,1920.0,141.21,1080.0,1.0,44.0,0.97,45490
Acer,Acer Travel Lite TL14 UN.34GSI.07K Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11),Intel,Core i3,4.3,SSD,Intel,Integrated,False,Windows 11,True,True,False,Slow,Medium,8.0,8.0,16.0,512.0,14.0,1920.0,157.35,1080.0,1.0,40.0,1.21,32990
Razer,Razer Launches Blade 18 (2025) Laptop (Intel Core Ultra 9 275HX/ 32GB/ 2TB SSD/ Win11/ 24GB Graphics),Intel,Core Ultra 9,4.7,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Fast,Medium,31.2,24.0,32.0,2000.0,18.0,2560.0,167.72,1600.0,1.0,119.6,0.45,393990
HP,HP Victus FA1198TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),Intel,Core i5,4.75,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,12.0,8.0,16.0,512.0,15.6,1920.0,141.21,1080.0,1.0,54.0,0.74,72990
Acer,Acer Aspire 3 A311-45 UN.354SI.002 Laptop (Intel Celeron N4500/ 8GB/ 512GB SSD/ Win11),Intel,Celeron,4.65,SSD,Intel,Integrated,False,Windows 11,True,True,False,Slow,Slow,2.0,8.0,8.0,512.0,11.6,1366.0,135.09,768.0,1.0,26.0,1.3,19990
Asus,Asus ROG Strix SCAR 16 (2025) G635 Gaming Laptop (Intel Core Ultra 9 Processor 275HX/ 32GB/ 2TB SSD/ Win11 Home/ RTX5090 Graph),Intel,Core Ultra 9,4.3,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Fast,Medium,28.8,20.8,32.0,2000.0,16.0,2560.0,188.68,1600.0,1.0,110.4,0.5700000000000001,449999
Lenovo,Lenovo LOQ 15ARP9 83JC00EHIN Gaming Laptop (AMD Ryzen 7 7435H/ 24GB/ 512GB SSD/ Win11/ 8GB RTX 4060 Graph),AMD,Ryzen 7,4.35,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,16.0,8.0,24.0,512.0,15.6,1920.0,141.21,1080.0,1.0,66.0,0.72,91690
Xiaomi,Xiaomi Redmi Book 16 2025 Laptop (Intel Core Ultra 5 Series 2/ 32GB/ 1TB SSD/ Win 11),Intel,Core Ultra 5,4.1,SSD,Intel,Integrated,False,Windows 11,True,True,False,Medium,Fast,18.4,12.8,32.0,1000.0,16.0,3072.0,226.42,1920.0,1.0,78.4,0.62,64990
HP,HP 255 G10 B1FW9PT Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11),AMD,Ryzen 3,4.7,SSD,AMD,Integrated,False,Windows 11,True,True,False,Slow,Slow,8.0,8.0,8.0,512.0,15.6,1366.0,100.45,768.0,1.0,32.0,1.28,24999
Apple,Apple MacBook Pro 14 2024 Laptop (Apple M4/ 16GB/ 512GB SSD/ macOS),Apple,Other,4.15,SSD,Apple,Integrated,False,Mac,False,False,False,Slow,Fast,18.4,10.0,16.0,512.0,14.2,3024.0,253.93,1964.0,1.0,62.4,0.6479999999999999,162990
MSI,MSI Modern 15 H AI C1MG-050IN Laptop (Intel Core Ultra 5 125H/ 8GB/ 512GB SSD/ Win11 Home),Intel,Core Ultra 5,4.0,SSD,Intel,Integrated,False,Windows 11,True,True,False,Medium,Slow,18.0,14.0,8.0,512.0,15.6,1920.0,141.21,1080.0,1.0,54.0,1.12,48300
Lenovo,Lenovo IdeaPad 5 14IRH9 83KX0019IN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),Intel,Core i7,4.1,SSD,Intel,Integrated,True,Windows 11,True,True,False,Medium,Medium,16.0,10.0,16.0,512.0,14.0,1920.0,161.73,1200.0,1.0,52.0,0.61,84690
Asus,Asus Vivobook 16X K3605ZU-RP304WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX4050),Intel,Core i5,4.75,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,16.0,12.0,16.0,512.0,16.0,1920.0,141.51,1200.0,1.0,66.0,0.78,84990
Asus,Asus TUF Gaming A15 FA507NVR-LP104WS Laptop (AMD Ryzen 7 7435HS/ 16GB / 512GB SSD/ Win11/ 8GB Graph),AMD,Ryzen 7,4.75,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,16.0,8.0,16.0,512.0,15.6,1920.0,141.21,1080.0,1.0,58.0,0.58,99990
